Week Ending,Residents Weekly Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Number of All Beds,Number of Residents with a Completed Vaccination Staying in this Facility for At Least 1 Day This Week who Received a COVID-19 Vaccine Booster at Any Time,Number of Residents Staying in this Facility for At Least 1 Day This Week,Number of Residents Staying in this Facility for At Least 1 Day This Week who Received a Completed COVID-19 Vaccination at Any Time,Number of Residents Staying in this Facility for At Least 1 Day This Week who Received a Partial COVID-19 Vaccination at Any Time,Number of Residents Staying in this Facility for At Least 1 Day This Week with a Medical Contraindication to a COVID-19 Vaccine at Any Time,Number of Residents Staying in this Facility for At Least 1 Day This Week who were Offered but Declined a COVID-19 Vaccine at Any Time,Number of Residents with a New Positive COVID-19 Test Result,Number of Staff and/or Personnel with a New Positive COVID-19 Test Result,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week who Received a Completed COVID-19 Vaccination at Any Time,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week who Received a Partial COVID-19 Vaccination at Any Time,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week with a Medical Contraindication to a COVID-19 Vaccine at Any Time,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week who were Offered but Declined a COVID-19 Vaccine at Any Time,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week with an Unknown COVID-19 Vaccination Status at Any Time
2022-01-02,3364.0,18466.0,6129.0,492.0,1597907.0,653499.0,1177578.0,1028333.0,17323.0,4497.0,107099.0,20293.0,44554.0,1537918.0,60052.0,16346.0,213881.0,30067.0
2022-01-09,5574.0,38376.0,6299.0,789.0,1598466.0,670019.0,1174544.0,1026366.0,17104.0,4630.0,107340.0,40431.0,70621.0,1545858.0,51976.0,16326.0,209772.0,28604.0
2022-01-16,7534.0,48989.0,6949.0,1222.0,1596491.0,685068.0,1177910.0,1027698.0,17359.0,4818.0,108906.0,51141.0,70662.0,1558010.0,47241.0,16456.0,206638.0,27715.0
2022-01-23,8242.0,49514.0,7529.0,1549.0,1596108.0,698954.0,1176104.0,1027072.0,17414.0,4700.0,106958.0,51423.0,62352.0,1572802.0,45052.0,17249.0,200030.0,26567.0
2022-01-30,7946.0,38337.0,7342.0,1434.0,1596721.0,710654.0,1173968.0,1024523.0,17519.0,4701.0,107508.0,39698.0,44165.0,1583880.0,45558.0,18040.0,190144.0,26415.0
2022-02-06,6929.0,25391.0,7216.0,1253.0,1598069.0,724842.0,1181257.0,1030354.0,17620.0,4590.0,108552.0,27476.0,27478.0,1608920.0,46310.0,18863.0,184859.0,22621.0
2022-02-13,5138.0,16446.0,6658.0,878.0,1598138.0,737901.0,1184889.0,1032676.0,17940.0,4490.0,109563.0,17603.0,15780.0,1629799.0,46175.0,18786.0,179173.0,20682.0
2022-02-20,4201.0,10125.0,6333.0,686.0,1595277.0,760655.0,1188285.0,1035719.0,18330.0,4350.0,109888.0,10982.0,9721.0,1650607.0,46504.0,19941.0,172328.0,17509.0
2022-02-27,3021.0,6125.0,5901.0,436.0,1595369.0,771776.0,1187848.0,1036898.0,18084.0,4111.0,109421.0,7024.0,6461.0,1667080.0,42418.0,19198.0,169604.0,16950.0
2022-03-06,2272.0,3779.0,5593.0,242.0,1595264.0,787026.0,1192441.0,1041890.0,17810.0,4050.0,109422.0,5078.0,4827.0,1690008.0,36918.0,19161.0,169208.0,15305.0
